epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8574.06,1.56813,0.92509,0.99975,0.82778,0.70145,0.7475,0.44734,1.32328,0.76948,0.99813,0.005842,0.005842,0.005842
44,8772.78,1.56693,0.928,1.00479,0.83011,0.70047,0.74857,0.44914,1.31901,0.76527,0.99662,0.005743,0.005743,0.005743
45,8971.79,1.57012,0.92798,0.99954,0.82917,0.70062,0.74852,0.45013,1.31268,0.76765,0.99654,0.005644,0.005644,0.005644
46,9170.16,1.55871,0.92338,1.0009,0.83106,0.70148,0.74975,0.45076,1.30955,0.76211,0.99659,0.005545,0.005545,0.005545
47,9369.28,1.55972,0.92187,0.99908,0.82989,0.70387,0.75017,0.451,1.30919,0.75824,0.99634,0.005446,0.005446,0.005446
48,9568.34,1.55683,0.91544,0.99792,0.83028,0.70259,0.75055,0.45222,1.30543,0.76015,0.99486,0.005347,0.005347,0.005347
49,9766.71,1.54858,0.91309,0.99703,0.83128,0.70502,0.75192,0.45315,1.30395,0.75364,0.99478,0.005248,0.005248,0.005248
50,9965.19,1.54648,0.90964,0.9932,0.82966,0.70573,0.75183,0.4543,1.29763,0.75522,0.99225,0.005149,0.005149,0.005149
51,10163.6,1.53991,0.90024,0.98993,0.8336,0.70596,0.75311,0.45636,1.29035,0.74817,0.98995,0.00505,0.00505,0.00505
52,10362.2,1.54414,0.90801,0.99239,0.83325,0.70597,0.75341,0.45628,1.28714,0.74948,0.98844,0.004951,0.004951,0.004951
53,10560.9,1.53089,0.90061,0.99148,0.83257,0.70749,0.7544,0.45814,1.2814,0.74676,0.98508,0.004852,0.004852,0.004852
54,10759.7,1.52872,0.89835,0.98927,0.83354,0.70741,0.75449,0.45855,1.28008,0.74678,0.98556,0.004753,0.004753,0.004753
55,10958.3,1.5298,0.90057,0.99029,0.83188,0.70837,0.7547,0.45885,1.2811,0.74363,0.98643,0.004654,0.004654,0.004654
56,11157.1,1.51386,0.88874,0.98595,0.83174,0.70964,0.75581,0.46002,1.27818,0.74064,0.9858,0.004555,0.004555,0.004555
57,11355.7,1.52371,0.89536,0.98593,0.83516,0.70954,0.75661,0.46104,1.27403,0.73764,0.9844,0.004456,0.004456,0.004456
58,11554.6,1.50943,0.88595,0.98455,0.83487,0.70971,0.75662,0.46189,1.26943,0.73644,0.9829,0.004357,0.004357,0.004357
59,11752.8,1.51596,0.88639,0.98362,0.83527,0.71212,0.75897,0.46278,1.26999,0.73333,0.98265,0.004258,0.004258,0.004258
60,11951.3,1.51249,0.88503,0.98318,0.83603,0.71141,0.75902,0.46341,1.26743,0.7308,0.98236,0.004159,0.004159,0.004159
61,12149.7,1.50357,0.8847,0.98726,0.83632,0.71141,0.75931,0.46396,1.26406,0.73078,0.98187,0.00406,0.00406,0.00406
62,12347.7,1.49551,0.87618,0.98375,0.83847,0.71101,0.75999,0.46468,1.26276,0.73002,0.98084,0.003961,0.003961,0.003961
63,12546.2,1.50234,0.87719,0.98178,0.83774,0.71156,0.76029,0.46493,1.26176,0.72835,0.98021,0.003862,0.003862,0.003862
64,12745,1.48936,0.86817,0.97995,0.83857,0.71103,0.76067,0.46486,1.26175,0.72608,0.98023,0.003763,0.003763,0.003763
65,12943,1.50229,0.87536,0.98326,0.83933,0.71162,0.76115,0.46548,1.2605,0.72386,0.97993,0.003664,0.003664,0.003664
66,13141.3,1.48264,0.86804,0.97845,0.83791,0.71326,0.76173,0.46607,1.25915,0.72282,0.97969,0.003565,0.003565,0.003565
67,13339.4,1.49138,0.87162,0.9785,0.83873,0.71317,0.76151,0.46636,1.25836,0.72197,0.97923,0.003466,0.003466,0.003466
68,13537.3,1.48516,0.86534,0.9768,0.83911,0.71254,0.76171,0.46667,1.25696,0.72026,0.97859,0.003367,0.003367,0.003367
69,13735.9,1.48062,0.86228,0.97725,0.83819,0.71381,0.76205,0.4669,1.25588,0.71983,0.97834,0.003268,0.003268,0.003268
70,13934.2,1.47752,0.85924,0.9739,0.83811,0.71382,0.76232,0.46714,1.25415,0.71933,0.97802,0.003169,0.003169,0.003169
71,14133.1,1.47658,0.85869,0.97514,0.83727,0.71459,0.76289,0.46791,1.25208,0.71803,0.9772,0.00307,0.00307,0.00307
72,14331.7,1.47187,0.85289,0.97196,0.83768,0.7151,0.76336,0.46814,1.25156,0.71741,0.97682,0.002971,0.002971,0.002971
73,14530.5,1.46672,0.85255,0.97228,0.83753,0.71567,0.76365,0.46886,1.25001,0.71645,0.97617,0.002872,0.002872,0.002872
74,14729.2,1.46786,0.85285,0.9705,0.83816,0.71578,0.76391,0.46903,1.24955,0.7158,0.97593,0.002773,0.002773,0.002773
75,14927.6,1.46766,0.85034,0.97135,0.83779,0.71597,0.764,0.46931,1.24857,0.71555,0.97582,0.002674,0.002674,0.002674
76,15126.6,1.45997,0.84675,0.97355,0.83755,0.71658,0.76434,0.46951,1.24774,0.71443,0.97564,0.002575,0.002575,0.002575
77,15324.5,1.45559,0.84636,0.96927,0.8376,0.71654,0.76443,0.46973,1.24669,0.71383,0.97516,0.002476,0.002476,0.002476
78,15522.5,1.45728,0.84553,0.97174,0.83848,0.71652,0.76478,0.47031,1.2461,0.7129,0.97506,0.002377,0.002377,0.002377
79,15720.8,1.4467,0.8419,0.96947,0.83846,0.71667,0.76496,0.47057,1.24495,0.71248,0.97459,0.002278,0.002278,0.002278
80,15919.6,1.45128,0.8392,0.96865,0.83774,0.7174,0.76512,0.47077,1.244,0.71163,0.97413,0.002179,0.002179,0.002179
81,16117.8,1.44848,0.83629,0.96443,0.83848,0.71739,0.76534,0.47109,1.24375,0.71149,0.97416,0.00208,0.00208,0.00208
82,16315.8,1.44509,0.83332,0.96389,0.83802,0.71768,0.7654,0.47132,1.24287,0.71078,0.97389,0.001981,0.001981,0.001981
83,16514.4,1.44422,0.83727,0.96869,0.83836,0.71793,0.76557,0.47163,1.24164,0.71016,0.97356,0.001882,0.001882,0.001882
84,16712.4,1.44401,0.83703,0.96396,0.8382,0.71807,0.76558,0.47145,1.24073,0.70972,0.97319,0.001783,0.001783,0.001783
85,16910.2,1.43863,0.83167,0.96552,0.83779,0.71843,0.76559,0.47166,1.24062,0.70911,0.97336,0.001684,0.001684,0.001684
86,17108.4,1.42958,0.82787,0.96232,0.83822,0.71878,0.76589,0.4719,1.23961,0.70863,0.973,0.001585,0.001585,0.001585
